d%?Lesser Minor Armor?Price
01-50?Mithral shirt?1,100 gp
51-100?"Masterwork armor or nonmagical armor made with special material"?varies

d%?Greater Minor Armor?Price
01-33?Mistmail?2,250 gp
34-66?Otyugh hide?2,565 gp
67-100?Dragonhide plate?3,300 gp

d%?Lesser Medium Armor?Price
01-33?Elven chain?5,150 gp
34-66?Rhino hide?5,165 gp
67-100?Morlock hide?8,910 gp

d%?Greater Medium Armor?Price
01-15?Adamantine breastplate?10,200 gp
16-25?Soothsayer's raiment?10,300 gp
26-38?Equestrian plate?10,650 gp
39-50?Enchanted eelskin?11,160 gp
51-62?Boneless leather?12,160 gp
63-72?Murderer's blackcloth?12,405 gp
73-86?Folding plate?12,650 gp
87-100?Breastplate of vanishing?15,200 gp

d%?Lesser Major Armor?Price
01-13?Armor of insults?16,175 gp
14-29?Dwarven plate?16,500 gp
30-45?Banded mail of luck?18,900 gp
46-58?Catskin leather?18,910 gp
59-71?Celestial armor?22,400 gp
72-84?Buccaneer's breastplate?23,850 gp
85-100?Plate armor of the deep?24,650 gp

d%?Greater Major Armor?Price
01-10?Breastplate of command?25,400 gp
11-14?Forsaken banded mail?25,400 gp
15-24?Mithral full plate of speed?26,500 gp
25-28?Warden of the woods?29,350 gp
29-32?Scarab breastplate?32,350 gp
33-38?Giant-hide armor (ogre)?39,165 gp
39-42?Hamatula hide?44,215 gp
43-48?Giant-hide armor (hill giant)?46,665 gp
49-52?Demon armor?52,260 gp
53-58?Giant-hide armor (stone, fire, or frost giant)?54,165 gp
59-64?Giant-hide armor (troll)?59,165 gp
65-70?Mail of malevolence?61,300 gp
71-76?Giant-hide armor (cloud giant)?69,165 gp
77-82?Giant-hide armor (storm giant)?76,665 gp
83-88?Daystar half-plate?81,250 gp
89-96?Invincible armor?137,650 gp
97-100?Prismatic plate?160,650 gp


d%?Lesser Minor Shield?Price
01-20?Living steel heavy shield?120 gp
21-45?Darkwood buckler?203 gp
46-70?Darkwood shield?257 gp
71-100?Mithral heavy shield?1,020 gp

d%?Greater Minor Shield?Price
01-30?Zombie skin shield?2,159 gp
31-75?Caster's shield?3,153 gp
76-100?Burglar's buckler?4,655 gp

d%?Lesser Medium Shield?Price
01-35?Spined shield?5,580 gp
36-50?Dragonslayer's shield?7,170 gp
51-65?Collapsible tower?8,170 gp
66-100?Lion's shield?9,170 gp

d%?Greater Medium Shield?Price
01-20?Caster shield, greater?10,153 gp
21-40?Celestial shield?13,170 gp
41-60?Maelstrom shield?14,170 gp
61-80?Volcanic shield?14,170 gp
81-100?Tempest shield?15,170 gp

d%?Lesser Major Shield?Price
01-20?Battlement shield?16,180 gp
21-40?Winged shield?17,257 gp
41-60?Avalanche shield?19,170 gp
61-80?Fortress shield?19,180 gp
81-100?Wyrmslayer's shield?20,170 gp

d%?Greater Major Shield?Price
01-20?Spell ward tower shield?25,180 gp
21-35?Quick block buckler?36,155 gp
36-50?Belligerent shield?36,170 gp
51-65?Force tower?46,030 gp
66-85?Absorbing shield?50,170 gp
86-100?Elysian shield?52,620 gp
