d%?Lesser Minor Specific Weapons?Price
01-02?Tracer bullet?100 gp
03-08?Sleep arrow?132 gp
09-10?Dustburst bullet?196 gp
11-16?Tangle bolt?226 gp
17-22?Screaming bolt?267 gp
23-32?Masterwork silver dagger?322 gp
33-34?Alchemist's bullet?330 gp
35-44?Cold iron masterwork longsword?330 gp
45-50?Hushing arrow?547 gp
51-56?Hushing arrow, greater?1,047 gp
57-66?Javelin of lightning?1,500 gp
67-74?Searing arrow?1,516 gp
75-82?Sizzling arrow?1,516 gp
83-84?Burrowing bullet, lesser?1,722 gp
85-92?Dust bolt?1,730 gp
93-100?Slaying arrow?2,282 gp

d%?Greater Minor Specific Weapons?Price
01-20?Adamantine dagger?3,002 gp
21-40?Adamantine battleaxe?3,010 gp
41-50?Burrowing bullet, greater?3,447 gp
51-70?Slaying arrow, greater?4,057 gp
71-80?Lance of jousting?4,310 gp
81-100?Shatterspike?4,315 gp

d%?Lesser Medium Specific Weapons?Price
01-03?Bloodletting kukri?6,308 gp
04-09?Boulderhead mace?6,812 gp
10-14?Beaststrike club?7,300 gp
15-20?Fighter's fork?7,315 gp
21-23?Everflowing aspergillum?7,805 gp
24-28?Hurricane quarterstaff?7,840 gp
29-34?Dagger of venom?8,302 gp
35-39?Gloom blade?8,810 gp
40-44?Frostbite sling?9,380 gp
45-49?Trident of stability?9,815 gp
50-54?Trident of warning?10,115 gp
55-60?Assassin's dagger?10,302 gp
61-66?Dagger of doubling?10,302 gp
67-71?Earthenflail?11,315 gp
72-79?Swift obsidian greataxe?11,320 gp
80-85?Polarity hammer?12,310 gp
86-93?Blade of binding?12,350 gp
94-100?Shifter's sorrow?12,780 gp

d%?Greater Medium Specific Weapons?Price
01-07?Dragoncatch guisarme?13,308 gp
08-15?Ten-ring sword?14,315 gp
16-21?Triton's trident?15,065 gp
22-29?Mace of smiting, lesser?16,012 gp
30-37?Disarming blade?17,820 gp
38-42?Lash of the howler?18,305 gp
43-47?Shieldsplitter lance?18,310 gp
48-53?Trident of fish command?18,650 gp
54-59?Quarterstaff of vaulting?19,100 gp
60-65?Firedrake pistol?20,300 gp
66-71?Ricochet hammer?20,301 gp
72-77?Flame tongue?20,715 gp
78-85?Sparkwake starknife?21,324 gp
86-90?Luck blade (0 wishes)?22,060 gp
91-95?Sword of subtlety?22,310 gp
96-100?Sword of the planes?22,315 gp

d%?Lesser Major Specific Weapons?Price
01-12?Nine lives stealer?23,057 gp
13-26?Undercutting axe?23,310 gp
27-40?Spirit caller?25,302 gp
41-55?Dwarfbond hammer?25,312 gp
56-70?Oathbow?25,600 gp
71-85?Sword of life stealing?25,715 gp
86-100?Cutthroat's apprentice?33,910 gp

d%?Greater Major Specific Weapons?Price
01-02?Ghoul's lament?35,312 gp
03-05?Mace of terror?38,552 gp
06-07?Hellscourge?39,305 gp
08-09?Dragon's doom?40,310 gp
10-13?Life-drinker?40,320 gp
14-16?Valor's minion?41,335 gp
17-18?Summoner's sorrow?42,816 gp
19-21?Sylvan scimitar?47,315 gp
22-23?Spirit blade?48,502 gp
24-26?Heartswood spear?50,302 gp
27-29?Rapier of puncturing?50,320 gp
30-32?Sun blade?50,335 gp
33-37?Blade of the rising sun?51,850 gp
38-40?Frost brand?54,475 gp
41-45?Dwarven thrower?60,312 gp
46-50?Bloodthirst dagger?60,802 gp
51-53?Warbringer?61,375 gp
54-57?Luck blade (1 wish)?62,360 gp
58-61?Guarding blade?65,310 gp
62-64?Pistol of the infinite sky?73,300 gp
65-69?Mace of smiting?75,312 gp
70-73?Blade of the sword-saint?75,350 gp
74-76?Scimitar of the spellthief?75,815 gp
77-79?Spider's fang?79,102 gp
80-82?Demonsorrow curve blade?90,469 gp
83-85?Void scythe?95,318 gp
86-89?Luck blade (2 wishes)?102,660 gp
90-92?Holy avenger?120,630 gp
93-96?Bastard's sting?123,035 gp
97-100?Luck blade (3 wishes)?142,960 gp
